,Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,journal,acceptanceRate,timeToFirstDecision,publicationTime,subjectAreas,aut_valid,Rev1,AR,Time to first decision,Review time,Submission to acceptance,Acceptance to publication,Acceptance Rate
7494,IEEE TRANSACTIONS ON INFORMATION THEORY,0018-9448,1557-9654,2.5,Q3,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3)",0.02496,3.25,,,,,,,,,,,,,
7495,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,0018-9456,1557-9662,5.6,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); INSTRUMENTS & INSTRUMENTATION - SCIE (Q1)",0.02974,2.7,,,,,,,,,,,,,
7496,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,1524-9050,1558-0016,8.5,Q1,"ENGINEERING, CIVIL - SCIE (Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE (Q1)",0.04359,2.83,,,,,,,,,,,,,
7497,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,0020-7721,1464-5319,4.3,Q1,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q2); COMPUTER SCIENCE, THEORY & METHODS - SCIE (Q1); OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE (Q2)",0.00859,2.6,,,,,,,,,,,,,
7498,Pervasive and Mobile Computing,1574-1192,1873-1589,4.3,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q2)",0.00252,3.7,Pervasive and Mobile Computing,11.9,6.8,3.1,"['Software', 'Information Systems,Physical Science', 'Hardware and Architecture', 'Computer Science Applications', 'Computer Networks and Communications']",True,47,11,,126,192,7,
7499,ROBOTICS AND AUTONOMOUS SYSTEMS,0921-8890,1872-793X,4.3,Q2,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q2); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2); ROBOTICS - SCIE (Q2)",0.0073,3.4,Robotics and Autonomous Systems,16.63,11.4,5.6,"['Control and Systems Engineering', 'Software', 'Mathematics all', 'Computer Science Applications']",True,79,16,,,240,10,
7500,IEEE TRANSACTIONS ON MAGNETICS,0018-9464,1941-0069,2.1,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q3)",0.01315,2.75,,,,,,,,,,,,,
7501,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,1557-7392,4.4,Q1,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q1)",0.00129,2.5,,,,,,,,,,,,,
7502,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,0018-9480,1557-9670,4.3,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.02503,2.8,,,,,,,,,,,,,
7503,Cluster Computing-The Journal of Networks Software Tools and Applications,1386-7857,1573-7543,4.4,Q1,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2); COMPUTER SCIENCE, THEORY & METHODS - SCIE (Q1)",0.00725,2.95,,,,,,,,,,,,,
7504,COMPUTERS & GEOSCIENCES,0098-3004,1873-7803,4.4,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q1)",0.00799,3.2,Computers and Geosciences,16.25,6.2,2.7,"['Information Systems,Physical Science', 'Computers in Earth Sciences']",True,43,16,,,233,8,
7505,IEEE TRANSACTIONS ON NANOBIOSCIENCE,1536-1241,1558-2639,3.9,Q2,BIOCHEMICAL RESEARCH METHODS - SCIE (Q2); NANOSCIENCE & NANOTECHNOLOGY - SCIE (Q3),0.002,3.85,,,,,,,,,,,,,
7506,IEEE TRANSACTIONS ON NANOTECHNOLOGY,1536-125X,1941-0085,2.4,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3); NANOSCIENCE & NANOTECHNOLOGY - SCIE (Q4); PHYSICS, APPLIED - SCIE (Q3)",0.00298,3.42,,,,,,,,,,,,,
7507,Enterprise Information Systems,1751-7575,1751-7583,4.4,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2)",0.00207,3.7,,,,,,,,,,,,,
7508,IEEE Transactions on Network Science and Engineering,2327-4697,2327-4697,6.6,Q1,"ENGINEERING, MULTIDISCIPLINARY - SCIE (Q1); MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE (Q1)",0.00759,2.15,,,,,,,,,,,,,
7509,IEEE Systems Journal,1932-8184,1937-9234,4.4,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q2)",0.01977,3.17,,,,,,,,,,,,,
7510,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,1534-4320,1558-0210,4.9,Q1,"ENGINEERING, BIOMEDICAL - SCIE (Q2); REHABILITATION - SCIE (Q1)",0.01322,2.77,,,,,,,,,,,,,
7511,IEEE TRANSACTIONS ON NUCLEAR SCIENCE,0018-9499,1558-1578,1.8,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); NUCLEAR SCIENCE & TECHNOLOGY - SCIE (Q2)",0.0056,2.2,,,,,,,,,,,,,
7512,COMPUTER VISION AND IMAGE UNDERSTANDING,1077-3142,1090-235X,4.5,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.0063,3.2,Computer Vision and Image Understanding,10.15,9.2,3.0,"['Software', 'Signal Processing', 'Computer Vision and Pattern Recognition']",True,64,10,,226,273,8,
7513,IEEE Consumer Electronics Magazine,2162-2248,2162-2256,4.5,Q1,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q2)",0.00201,3.03,,,,,,,,,,,,,
7514,IEEE TRANSACTIONS ON PLASMA SCIENCE,0093-3813,1939-9375,1.5,Q4,"PHYSICS, FLUIDS & PLASMAS - SCIE (Q4)",0.00761,2.3,,,,,,,,,,,,,
7515,IEEE TRANSACTIONS ON POWER DELIVERY,0885-8977,1937-4208,4.4,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.01516,2.8,,,,,,,,,,,,,
7516,IEEE TRANSACTIONS ON POWER ELECTRONICS,0885-8993,1941-0107,6.7,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.07139,2.8,,,,,,,,,,,,,
7517,IEEE TRANSACTIONS ON POWER SYSTEMS,0885-8950,1558-0679,6.6,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.04943,2.8,,,,,,,,,,,,,
7518,IEEE-ACM Transactions on Computational Biology and Bioinformatics,1545-5963,1557-9964,4.5,Q1,"BIOCHEMICAL RESEARCH METHODS - SCIE (Q1); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE (Q1); STATISTICS & PROBABILITY - SCIE (Q1)",0.00712,2.52,,,,,,,,,,,,,
7519,IEEE Transactions on Robotics,1552-3098,1941-0468,7.8,Q1,ROBOTICS - SCIE (Q1),0.01674,3.5,,,,,,,,,,,,,
7520,IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,0894-6507,1558-2345,2.7,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); ENGINEERING, MANUFACTURING - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q2); PHYSICS, CONDENSED MATTER - SCIE (Q3)",0.00175,2.98,,,,,,,,,,,,,
7521,JOURNAL OF BIOMEDICAL INFORMATICS,1532-0464,1532-0480,4.5,Q2,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); MEDICAL INFORMATICS - SCIE (Q2)",0.01576,3.65,Journal of Biomedical Informatics,12.73,2.1,2.7,"['Health Informatics', 'Computer Science Applications']",True,14,12,2,128,163,6,
7522,IEEE Transactions on Signal and Information Processing over Networks,2373-776X,2373-776X,3.2,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q3)",0.00304,3.25,,,,,,,,,,,,,
7523,IEEE TRANSACTIONS ON SIGNAL PROCESSING,1053-587X,1941-0476,5.4,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.03954,2.8,,,,,,,,,,,,,
7524,IEEE Transactions on Smart Grid,1949-3053,1949-3061,9.6,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.05873,2.8,,,,,,,,,,,,,
7525,JOURNAL OF SYSTEMS ARCHITECTURE,1383-7621,1873-6165,4.5,Q1,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q1); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q1)",0.00313,2.55,Journal of Systems Architecture,19.81,3.0,3.0,"['Software', 'Hardware and Architecture']",True,21,19,5,98,149,8,
7526,Sustainable Computing-Informatics & Systems,2210-5379,2210-5387,4.5,Q1,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q1); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2)",0.00209,3.15,,,,,,,,,,,,,
7527,IEEE Transactions on Sustainable Energy,1949-3029,1949-3037,8.8,Q1,"ENERGY & FUELS - SCIE (Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE (Q2)",0.02113,4.18,,,,,,,,,,,,,
7528,Big Data,2167-6461,2167-647X,4.6,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); COMPUTER SCIENCE, THEORY & METHODS - SCIE (Q1)",0.00199,2.95,,,,,,,,,,,,,
7529,IEEE Transactions on Terahertz Science and Technology,2156-342X,2156-3446,3.2,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); OPTICS - SCIE (Q2); PHYSICS, APPLIED - SCIE (Q2)",0.0031,2.73,,,,,,,,,,,,,
7530,IEEE Transactions on Transportation Electrification,2332-7782,2332-7782,7.0,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE (Q1)",0.01101,2.95,,,,,,,,,,,,,
7531,IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,0885-3010,1525-8955,3.6,Q1,"ACOUSTICS - SCIE (Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.00701,2.55,,,,,,,,,,,,,
7532,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,0018-9545,1939-9359,6.8,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); TELECOMMUNICATIONS - SCIE (Q1); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE (Q1)",0.07652,3.2,,,,,,,,,,,,,
7533,COMPUTERS & OPERATIONS RESEARCH,0305-0548,1873-765X,4.6,Q2,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); ENGINEERING, INDUSTRIAL - SCIE (Q2); OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE (Q2)",0.01341,3.17,Computers and Operations Research,19.46,7.1,3.2,"['Computer Science all', 'Modeling and Simulation', 'Management Science and Operations Research']",True,49,19,,,287,10,
7534,MATHEMATICS AND COMPUTERS IN SIMULATION,0378-4754,1872-7166,4.6,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q1); MATHEMATICS, APPLIED - SCIE (Q1)",0.00674,2.5,Mathematics and Computers in Simulation,13.53,5.3,5.8,"['Theoretical Computer Science', 'Computer Science all', 'Numerical Analysis', 'Modeling and Simulation', 'Applied Mathematics']",True,37,13,,125,182,10,14%
7535,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,1536-1276,1558-2248,10.4,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); TELECOMMUNICATIONS - SCIE (Q1)",0.06179,3.25,,,,,,,,,,,,,
7536,IEEE Vehicular Technology Magazine,1556-6072,1556-6080,8.1,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); TELECOMMUNICATIONS - SCIE (Q1); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE (Q1)",0.00587,3.2,,,,,,,,,,,,,
7537,COMPUTERS & STRUCTURES,0045-7949,1879-2243,4.7,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); ENGINEERING, CIVIL - SCIE (Q1)",0.00707,3.15,Computers and Structures,8.17,3.4,3.4,"['Civil and Structural Engineering', 'Modeling and Simulation', 'Materials Science all', 'Mechanical Engineering', 'Computer Science Applications']",True,23,8,12,59,155,,8
7538,Fuzzy Optimization and Decision Making,1568-4539,1573-2908,4.7,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2); OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE (Q2)",0.00098,3.05,,,,,,,,,,,,,
7539,IEEE-ACM Transactions on Audio Speech and Language Processing,2329-9290,2329-9304,5.4,Q1,"ACOUSTICS - SCIE (Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.00774,2.55,,,,,,,,,,,,,
7540,IMAGE AND VISION COMPUTING,0262-8856,1872-8138,4.7,Q1,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q1); COMPUTER SCIENCE, THEORY & METHODS - SCIE (Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); OPTICS - SCIE (Q1)",0.004,2.76,Image and Vision Computing,6.31,2.5,4.1,"['Signal Processing', 'Computer Vision and Pattern Recognition']",True,17,6,4,97,104,6,
7541,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,1044-7318,1532-7590,4.7,Q2,"COMPUTER SCIENCE, CYBERNETICS - SCIE (Q2)",0.00472,3.1,,,,,,,,,,,,,
7542,IEEE-ASME TRANSACTIONS ON MECHATRONICS,1083-4435,1941-014X,6.4,Q1,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); ENGINEERING, MANUFACTURING - SCIE (Q2); ENGINEERING, MECHANICAL - SCIE (Q1)",0.01999,3.0,,,,,,,,,,,,,
7543,IEEE-CAA Journal of Automatica Sinica,2329-9266,2329-9274,11.8,Q1,AUTOMATION & CONTROL SYSTEMS - SCIE (Q1),0.01224,3.1,,,,,,,,,,,,,
7544,IEEJ Transactions on Electrical and Electronic Engineering,1931-4973,1931-4981,1.0,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4)",0.00148,2.8,,,,,,,,,,,,,
7545,IEICE Electronics Express,1349-2543,1349-2543,0.8,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4)",0.00083,2.8,,,,,,,,,,,,,
7546,IEICE TRANSACTIONS ON COMMUNICATIONS,0916-8516,1745-1345,0.7,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4); TELECOMMUNICATIONS - SCIE (Q4)",0.00074,3.25,,,,,,,,,,,,,
7547,IEICE TRANSACTIONS ON ELECTRONICS,0916-8524,1745-1353,0.5,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4)",0.00051,2.8,,,,,,,,,,,,,
7548,IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,0916-8508,1745-1337,0.5,Q4,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q4); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q4); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4)",0.00091,3.03,,,,,,,,,,,,,
7549,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,0916-8532,1745-1361,0.7,Q4,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q4); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q4)",0.00165,3.1,,,,,,,,,,,,,
7550,IET Biometrics,2047-4938,2047-4946,2.0,Q4,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q4)",0.00098,3.6,,,,,,,,,,,,,
7551,IET Circuits Devices & Systems,1751-858X,1751-8598,1.3,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4)",0.00121,2.8,,,,,,,,,,,,,
7552,IET Communications,1751-8628,1751-8636,1.6,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4)",0.00379,2.8,,,,,,,,,,,,,
7553,IET Computer Vision,1751-9632,1751-9640,1.7,Q3,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q4); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3)",0.00104,3.2,,,,,,,,,,,,,
7554,IET Computers and Digital Techniques,1751-8601,1751-861X,1.2,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q4); COMPUTER SCIENCE, THEORY & METHODS - SCIE (Q3)",0.00035,2.4,,,,,,,,,,,,,
7555,IET Control Theory and Applications,1751-8644,1751-8652,2.6,Q2,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); INSTRUMENTS & INSTRUMENTATION - SCIE (Q2)",0.00985,2.83,,,,,,,,,,,,,
7556,IET Electric Power Applications,1751-8660,1751-8679,1.7,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3)",0.00436,2.8,,,,,,,,,,,,,
7557,IET Electrical Systems in Transportation,2042-9738,2042-9746,2.3,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE (Q3)",0.00071,2.95,,,,,,,,,,,,,
7558,IET Generation Transmission & Distribution,1751-8687,1751-8695,2.5,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3)",0.0137,2.8,,,,,,,,,,,,,
7559,IET Image Processing,1751-9659,1751-9667,2.3,Q3,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q3)",0.0051,3.2,,,,,,,,,,,,,
7560,IET Information Security,1751-8709,1751-8717,1.4,Q3,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q4); COMPUTER SCIENCE, THEORY & METHODS - SCIE (Q3)",0.00089,2.95,,,,,,,,,,,,,
7561,IET Intelligent Transport Systems,1751-956X,1751-9578,2.7,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE (Q3)",0.00425,2.95,,,,,,,,,,,,,
7562,IET Microwaves Antennas & Propagation,1751-8725,1751-8733,1.7,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); TELECOMMUNICATIONS - SCIE (Q4)",0.00573,3.25,,,,,,,,,,,,,
7563,IET Nanobiotechnology,1751-8741,1751-875X,2.3,Q3,BIOCHEMICAL RESEARCH METHODS - SCIE (Q3); NANOSCIENCE & NANOTECHNOLOGY - SCIE (Q4),0.00163,3.85,,,,,,,,,,,,,
7564,IET Optoelectronics,1751-8768,1751-8776,1.6,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4); OPTICS - SCIE (Q4); TELECOMMUNICATIONS - SCIE (Q4)",0.00063,3.07,,,,,,,,,,,,,
7565,IET Power Electronics,1755-4535,1755-4543,2.0,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3)",0.00768,2.8,,,,,,,,,,,,,
7566,IET Radar Sonar and Navigation,1751-8784,1751-8792,1.7,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); TELECOMMUNICATIONS - SCIE (Q4)",0.00345,3.25,,,,,,,,,,,,,
7567,IET Renewable Power Generation,1752-1416,1752-1424,2.6,Q3,"ENERGY & FUELS - SCIE (Q4); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE (Q4)",0.00813,4.18,,,,,,,,,,,,,
7568,IET Science Measurement & Technology,1751-8822,1751-8830,1.4,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4)",0.00183,2.8,,,,,,,,,,,,,
7569,IET Signal Processing,1751-9675,1751-9683,1.7,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3)",0.00154,2.8,,,,,,,,,,,,,
7570,IET Software,1751-8806,1751-8814,1.6,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q3)",0.0007,2.5,,,,,,,,,,,,,
7571,IET Systems Biology,1751-8849,1751-8857,2.3,Q2,CELL BIOLOGY - SCIE (Q4); MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE (Q2),0.00036,3.3,,,,,,,,,,,,,
7572,IETE JOURNAL OF RESEARCH,0377-2063,0974-780X,1.5,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4); TELECOMMUNICATIONS - SCIE (Q4)",0.00199,3.25,,,,,,,,,,,,,
7573,IETE TECHNICAL REVIEW,0256-4602,0974-5971,2.4,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); TELECOMMUNICATIONS - SCIE (Q3)",0.00108,3.25,,,,,,,,,,,,,
7574,iForest-Biogeosciences and Forestry,1971-7458,1971-7458,1.7,Q3,FORESTRY - SCIE (Q3),0.00136,1.8,,,,,,,,,,,,,
7575,IHERINGIA SERIE BOTANICA,,2446-8231,0.4,Q4,PLANT SCIENCES - SCIE (Q4),0.00011,2.1,,,,,,,,,,,,,
7576,IHERINGIA SERIE ZOOLOGIA,0073-4721,1678-4766,0.4,Q4,ZOOLOGY - SCIE (Q4),0.0003,1.3,,,,,,,,,,,,,
7577,IISE Transactions,2472-5854,2472-5862,2.6,Q2,"ENGINEERING, INDUSTRIAL - SCIE (Q3); OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE (Q2)",0.00348,2.9,,,,,,,,,,,,,
7578,ILAR JOURNAL,1084-2020,1930-6180,2.5,Q1,VETERINARY SCIENCES - SCIE (Q1),0.00143,1.3,,,,,,,,,,,,,
7579,IMA Fungus,2210-6340,2210-6359,5.4,Q1,MYCOLOGY - SCIE (Q1),0.00169,3.0,,,,,,,,,,,,,
7580,IMA JOURNAL OF APPLIED MATHEMATICS,0272-4960,1464-3634,1.2,Q3,"MATHEMATICS, APPLIED - SCIE (Q3)",0.00091,1.3,,,,,,,,,,,,,
7581,IMA Journal of Management Mathematics,1471-678X,1471-6798,1.7,Q3,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE (Q3); OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE (Q4)",0.00038,2.2,,,,,,,,,,,,,
7582,IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION,0265-0754,1471-6887,1.5,Q2,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q4); MATHEMATICS, APPLIED - SCIE (Q2)",0.00107,2.2,,,,,,,,,,,,,
7583,IMA JOURNAL OF NUMERICAL ANALYSIS,0272-4979,1464-3642,2.1,Q1,"MATHEMATICS, APPLIED - SCIE (Q1)",0.00594,1.3,,,,,,,,,,,,,
7584,Image Analysis & Stereology,1580-3139,,0.9,Q3,"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q4); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q4); MATHEMATICS, APPLIED - SCIE (Q3)",0.00011,2.67,,,,,,,,,,,,,
7585,Memetic Computing,1865-9284,1865-9292,4.7,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2); OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE (Q2)",0.00109,3.05,,,,,,,,,,,,,
7586,Immune Network,1598-2629,2092-6685,6.0,Q2,IMMUNOLOGY - SCIE (Q2),0.00241,4.4,,,,,,,,,,,,,
7587,Immunity,1074-7613,1097-4180,32.4,Q1,IMMUNOLOGY - SCIE (Q1),0.10298,4.4,Immunity,10.93,2.7,5.8,"['Immunology and Allergy', 'Immunology', 'Infectious Diseases']",True,18,10,,,216,,
7588,Immunity & Ageing,1742-4933,1742-4933,7.9,Q1,GERIATRICS & GERONTOLOGY - SCIE (Q1); IMMUNOLOGY - SCIE (Q1),0.00249,4.1,,,,,,,,,,,,,
7589,Immunity Inflammation and Disease,,2050-4527,3.2,Q3,IMMUNOLOGY - SCIE (Q3),0.00216,4.4,,,,,,,,,,,,,
7590,IMMUNOBIOLOGY,0171-2985,1878-3279,2.8,Q4,IMMUNOLOGY - SCIE (Q4),0.00296,4.4,Immunobiology,17.47,4.7,1.9,"['Immunology and Allergy', 'Immunology', 'Hematology']",,32,17,,,,,
7591,IMMUNOGENETICS,0093-7711,1432-1211,3.2,Q2,GENETICS & HEREDITY - SCIE (Q2); IMMUNOLOGY - SCIE (Q3),0.00168,3.75,,,,,,,,,,,,,
7592,IMMUNOLOGIC RESEARCH,0257-277X,1559-0755,4.4,Q2,IMMUNOLOGY - SCIE (Q2),0.00253,4.4,,,,,,,,,,,,,
7593,IMMUNOLOGICAL INVESTIGATIONS,0882-0139,1532-4311,2.8,Q4,IMMUNOLOGY - SCIE (Q4),0.0018,4.4,,,,,,,,,,,,,
7594,IMMUNOLOGICAL REVIEWS,0105-2896,1600-065X,8.7,Q1,IMMUNOLOGY - SCIE (Q1),0.01614,4.4,,,,,,,,,,,,,
7595,IMMUNOLOGY,0019-2805,1365-2567,6.4,Q2,IMMUNOLOGY - SCIE (Q2),0.00948,4.4,,,,,,,,,,,,,
7596,IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,0889-8561,1557-8607,2.6,Q3,ALLERGY - SCIE (Q3); IMMUNOLOGY - SCIE (Q4),0.00204,4.4,Immunology and Allergy Clinics of North America,,,18.2,"['Immunology and Allergy', 'Immunology']",True,,,,,,,
7597,IMMUNOLOGY AND CELL BIOLOGY,0818-9641,1440-1711,4.0,Q3,CELL BIOLOGY - SCIE (Q3); IMMUNOLOGY - SCIE (Q3),0.0043,4.35,,,,,,,,,,,,,
